DateTime,Away,Home
"Mon, Nov 11, 2013 9:00 pm",Denver Nuggets,Utah Jazz
"Tue, Nov 12, 2013 8:30 pm",Washington Wizards,Dallas Mavericks
"Tue, Nov 12, 2013 10:30 pm",Detroit Pistons,Golden State Warriors
"Tue, Nov 12, 2013 10:30 pm",New Orleans Pelicans,Los Angeles Lakers
"Tue, Nov 12, 2013 7:30 pm",Milwaukee Bucks,Miami Heat
"Wed, Nov 13, 2013 8:00 pm",New York Knicks,Atlanta Hawks
"Wed, Nov 13, 2013 7:30 pm",Charlotte Bobcats,Boston Celtics
"Wed, Nov 13, 2013 9:00 pm",Los Angeles Lakers,Denver Nuggets
"Wed, Nov 13, 2013 10:30 pm",Oklahoma City Thunder,Los Angeles Clippers
"Wed, Nov 13, 2013 8:00 pm",Toronto Raptors,Memphis Grizzlies
"Wed, Nov 13, 2013 8:00 pm",Cleveland Cavaliers,Minnesota Timberwolves
"Wed, Nov 13, 2013 7:00 pm",Milwaukee Bucks,Orlando Magic
"Wed, Nov 13, 2013 7:00 pm",Houston Rockets,Philadelphia 76ers
"Wed, Nov 13, 2013 10:00 pm",Phoenix Suns,Portland Trail Blazers
"Wed, Nov 13, 2013 10:00 pm",Brooklyn Nets,Sacramento Kings
"Wed, Nov 13, 2013 8:30 pm",Washington Wizards,San Antonio Spurs
"Wed, Nov 13, 2013 9:00 pm",New Orleans Pelicans,Utah Jazz
"Thu, Nov 14, 2013 10:30 pm",Oklahoma City Thunder,Golden State Warriors
"Thu, Nov 14, 2013 8:00 pm",Houston Rockets,New York Knicks
"Fri, Nov 15, 2013 7:30 pm",Philadelphia 76ers,Atlanta Hawks
"Fri, Nov 15, 2013 7:30 pm",Portland Trail Blazers,Boston Celtics
"Fri, Nov 15, 2013 7:30 pm",Charlotte Bobcats,Cleveland Cavaliers
"Fri, Nov 15, 2013 8:00 pm",Minnesota Timberwolves,Denver Nuggets
"Fri, Nov 15, 2013 7:00 pm",Milwaukee Bucks,Indiana Pacers
"Fri, Nov 15, 2013 10:30 pm",Memphis Grizzlies,Los Angeles Lakers
"Fri, Nov 15, 2013 7:30 pm",Dallas Mavericks,Miami Heat
"Fri, Nov 15, 2013 9:00 pm",Brooklyn Nets,Phoenix Suns
"Fri, Nov 15, 2013 10:30 pm",Detroit Pistons,Sacramento Kings
"Fri, Nov 15, 2013 7:00 pm",Chicago Bulls,Toronto Raptors
"Fri, Nov 15, 2013 9:00 pm",San Antonio Spurs,Utah Jazz
"Sat, Nov 16, 2013 7:00 pm",Miami Heat,Charlotte Bobcats
"Sat, Nov 16, 2013 8:00 pm",Indiana Pacers,Chicago Bulls
"Sat, Nov 16, 2013 10:30 pm",Utah Jazz,Golden State Warriors
"Sat, Nov 16, 2013 8:00 pm",Denver Nuggets,Houston Rockets
"Sat, Nov 16, 2013 10:30 pm",Brooklyn Nets,Los Angeles Clippers
"Sat, Nov 16, 2013 8:30 pm",Oklahoma City Thunder,Milwaukee Bucks
"Sat, Nov 16, 2013 8:00 pm",Boston Celtics,Minnesota Timberwolves
"Sat, Nov 16, 2013 8:00 pm",Philadelphia 76ers,New Orleans Pelicans
"Sat, Nov 16, 2013 7:30 pm",Atlanta Hawks,New York Knicks
"Sat, Nov 16, 2013 7:00 pm",Dallas Mavericks,Orlando Magic
"Sat, Nov 16, 2013 7:00 pm",Cleveland Cavaliers,Washington Wizards
"Sun, Nov 17, 2013 9:30 pm",Detroit Pistons,Los Angeles Lakers
"Sun, Nov 17, 2013 6:00 pm",Memphis Grizzlies,Sacramento Kings
"Sun, Nov 17, 2013 1:00 pm",Portland Trail Blazers,Toronto Raptors
"Mon, Nov 18, 2013 7:30 pm",Portland Trail Blazers,Brooklyn Nets
"Mon, Nov 18, 2013 8:00 pm",Charlotte Bobcats,Chicago Bulls
"Mon, Nov 18, 2013 8:30 pm",Philadelphia 76ers,Dallas Mavericks
"Mon, Nov 18, 2013 10:30 pm",Memphis Grizzlies,Los Angeles Clippers
"Mon, Nov 18, 2013 8:00 pm",Denver Nuggets,Oklahoma City Thunder
"Mon, Nov 18, 2013 9:00 pm",Golden State Warriors,Utah Jazz
"Tue, Nov 19, 2013 7:30 pm",New York Knicks,Detroit Pistons
"Tue, Nov 19, 2013 8:00 pm",Boston Celtics,Houston Rockets
"Tue, Nov 19, 2013 7:30 pm",Atlanta Hawks,Miami Heat
