DateTime,Away,Home,Arena
2018-01-21 13:00:00,Orlando Magic,Boston Celtics,TD Garden
2018-01-21 15:30:00,New York Knicks,Los Angeles Lakers,Staples Center
2018-01-21 16:00:00,Brooklyn Nets,Detroit Pistons,Little Caesars Arena
2018-01-21 19:00:00,Indiana Pacers,San Antonio Spurs,AT&T Center
2018-01-22 19:00:00,Sacramento Kings,Charlotte Hornets,Spectrum Center
2018-01-22 19:30:00,Utah Jazz,Atlanta Hawks,Philips Arena
2018-01-22 20:00:00,Miami Heat,Houston Rockets,Toyota Center
2018-01-22 20:00:00,Phoenix Suns,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-22 20:00:00,Chicago Bulls,New Orleans Pelicans,Smoothie King Center
2018-01-22 20:00:00,Philadelphia 76ers,Memphis Grizzlies,FedExForum
2018-01-22 20:30:00,Washington Wizards,Dallas Mavericks,American Airlines Center
2018-01-22 21:00:00,Portland Trail Blazers,Denver Nuggets,Pepsi Center
2018-01-22 22:30:00,Minnesota Timberwolves,Los Angeles Clippers,Staples Center
2018-01-23 19:00:00,Sacramento Kings,Orlando Magic,Amway Center
2018-01-23 20:00:00,Brooklyn Nets,Oklahoma City Thunder,Chesapeake Energy Arena
2018-01-23 20:00:00,Cleveland Cavaliers,San Antonio Spurs,AT&T Center
2018-01-23 22:30:00,New York Knicks,Golden State Warriors,Oracle Arena
2018-01-23 22:30:00,Boston Celtics,Los Angeles Lakers,Staples Center
2018-01-24 19:00:00,New Orleans Pelicans,Charlotte Hornets,Spectrum Center
2018-01-24 19:00:00,Utah Jazz,Detroit Pistons,Little Caesars Arena
2018-01-24 19:00:00,Phoenix Suns,Indiana Pacers,Bankers Life Fieldhouse
2018-01-24 19:00:00,Chicago Bulls,Philadelphia 76ers,Wells Fargo Center
2018-01-24 19:30:00,Toronto Raptors,Atlanta Hawks,Philips Arena
2018-01-24 20:00:00,Houston Rockets,Dallas Mavericks,American Airlines Center
2018-01-24 20:00:00,San Antonio Spurs,Memphis Grizzlies,FedExForum
2018-01-24 22:00:00,Minnesota Timberwolves,Portland Trail Blazers,Moda Center
2018-01-24 22:30:00,Boston Celtics,Los Angeles Clippers,Staples Center
2018-01-25 19:30:00,Sacramento Kings,Miami Heat,AmericanAirlines Arena
2018-01-25 20:00:00,Washington Wizards,Oklahoma City Thunder,Chesapeake Energy Arena
2018-01-25 21:00:00,New York Knicks,Denver Nuggets,Pepsi Center
2018-01-25 22:30:00,Minnesota Timberwolves,Golden State Warriors,Oracle Arena
2018-01-26 19:00:00,Atlanta Hawks,Charlotte Hornets,Spectrum Center
2018-01-26 19:30:00,Utah Jazz,Toronto Raptors,Air Canada Centre
2018-01-26 19:30:00,Indiana Pacers,Cleveland Cavaliers,Quicken Loans Arena
2018-01-26 20:00:00,Los Angeles Lakers,Chicago Bulls,United Center
2018-01-26 20:00:00,Los Angeles Clippers,Memphis Grizzlies,FedExForum
2018-01-26 20:00:00,Brooklyn Nets,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-26 20:00:00,Houston Rockets,New Orleans Pelicans,Smoothie King Center
2018-01-26 20:30:00,Portland Trail Blazers,Dallas Mavericks,American Airlines Center
2018-01-26 20:30:00,Philadelphia 76ers,San Antonio Spurs,AT&T Center
2018-01-26 21:00:00,New York Knicks,Phoenix Suns,Talking Stick Resort Arena
2018-01-27 17:00:00,Oklahoma City Thunder,Detroit Pistons,Little Caesars Arena
2018-01-27 19:00:00,Orlando Magic,Indiana Pacers,Bankers Life Fieldhouse
2018-01-27 19:30:00,Washington Wizards,Atlanta Hawks,Philips Arena
2018-01-27 19:30:00,Charlotte Hornets,Miami Heat,AmericanAirlines Arena
2018-01-27 20:30:00,Boston Celtics,Golden State Warriors,Oracle Arena
2018-01-27 21:00:00,Brooklyn Nets,Minnesota Timberwolves,Target Center
2018-01-27 21:00:00,Dallas Mavericks,Denver Nuggets,Pepsi Center
2018-01-28 15:30:00,Milwaukee Bucks,Chicago Bulls,United Center
2018-01-28 15:30:00,Phoenix Suns,Houston Rockets,Toyota Center
2018-01-28 16:00:00,Los Angeles Clippers,New Orleans Pelicans,Smoothie King Center
2018-01-28 18:00:00,Detroit Pistons,Cleveland Cavaliers,Quicken Loans Arena
2018-01-28 18:00:00,Philadelphia 76ers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-01-28 18:00:00,Los Angeles Lakers,Toronto Raptors,Air Canada Centre
2018-01-28 19:00:00,Sacramento Kings,San Antonio Spurs,AT&T Center
2018-01-29 19:00:00,Charlotte Hornets,Indiana Pacers,Bankers Life Fieldhouse
2018-01-29 19:30:00,Minnesota Timberwolves,Atlanta Hawks,Philips Arena
2018-01-29 20:00:00,Phoenix Suns,Memphis Grizzlies,FedExForum
2018-01-29 20:00:00,Philadelphia 76ers,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-29 20:30:00,Miami Heat,Dallas Mavericks,American Airlines Center
2018-01-29 21:00:00,Boston Celtics,Denver Nuggets,Pepsi Center
2018-01-30 19:00:00,Oklahoma City Thunder,Washington Wizards,Capital One Arena
2018-01-30 19:30:00,Minnesota Timberwolves,Toronto Raptors,Air Canada Centre
2018-01-30 19:30:00,Brooklyn Nets,New York Knicks,Madison Square Garden
2018-01-30 20:00:00,Orlando Magic,Houston Rockets,Toyota Center
2018-01-30 20:00:00,Cleveland Cavaliers,Detroit Pistons,Little Caesars Arena
2018-01-30 20:00:00,Sacramento Kings,New Orleans Pelicans,Smoothie King Center
2018-01-30 20:30:00,Denver Nuggets,San Antonio Spurs,AT&T Center
2018-01-30 21:00:00,Golden State Warriors,Utah Jazz,Vivint Smart Home Arena
2018-01-30 22:30:00,Portland Trail Blazers,Los Angeles Clippers,Staples Center
2018-01-31 19:00:00,Memphis Grizzlies,Indiana Pacers,Bankers Life Fieldhouse
2018-01-31 19:00:00,Los Angeles Lakers,Orlando Magic,Amway Center
2018-01-31 19:30:00,Charlotte Hornets,Atlanta Hawks,Philips Arena
2018-01-31 19:30:00,Philadelphia 76ers,Brooklyn Nets,Barclays Center
2018-01-31 19:30:00,Miami Heat,Cleveland Cavaliers,Quicken Loans Arena
2018-01-31 20:00:00,New York Knicks,Boston Celtics,TD Garden
2018-01-31 22:00:00,Chicago Bulls,Portland Trail Blazers,Moda Center
2018-01-31 22:30:00,Dallas Mavericks,Phoenix Suns,Talking Stick Resort Arena
2018-02-01 19:00:00,Memphis Grizzlies,Detroit Pistons,Little Caesars Arena
2018-02-01 19:00:00,Toronto Raptors,Washington Wizards,Capital One Arena
2018-02-01 20:00:00,Milwaukee Bucks,Minnesota Timberwolves,Target Center
2018-02-01 20:00:00,Houston Rockets,San Antonio Spurs,AT&T Center
2018-02-01 22:30:00,Oklahoma City Thunder,Denver Nuggets,Pepsi Center
2018-02-02 19:00:00,Indiana Pacers,Charlotte Hornets,Spectrum Center
2018-02-02 19:30:00,Los Angeles Lakers,Brooklyn Nets,Barclays Center
2018-02-02 19:30:00,Atlanta Hawks,Boston Celtics,TD Garden
2018-02-02 19:30:00,Portland Trail Blazers,Toronto Raptors,Air Canada Centre
2018-02-02 20:00:00,New York Knicks,Milwaukee Bucks,BMO Harris Bradley Center
2018-02-02 20:00:00,Miami Heat,Philadelphia 76ers,Wells Fargo Center
2018-02-02 21:00:00,New Orleans Pelicans,Oklahoma City Thunder,Chesapeake Energy Arena
2018-02-02 21:00:00,Utah Jazz,Phoenix Suns,Talking Stick Resort Arena
2018-02-02 22:30:00,Golden State Warriors,Sacramento Kings,Golden 1 Center
2018-02-03 15:30:00,Chicago Bulls,Los Angeles Clippers,Staples Center
2018-02-03 19:00:00,Miami Heat,Detroit Pistons,Little Caesars Arena
2018-02-03 19:00:00,Philadelphia 76ers,Indiana Pacers,Bankers Life Fieldhouse
2018-02-03 19:00:00,Washington Wizards,Orlando Magic,Amway Center
2018-02-03 20:30:00,Houston Rockets,Cleveland Cavaliers,Quicken Loans Arena
2018-02-03 21:00:00,Utah Jazz,San Antonio Spurs,AT&T Center
2018-02-03 21:00:00,Golden State Warriors,Denver Nuggets,Pepsi Center
2018-02-03 21:00:00,New Orleans Pelicans,Minnesota Timberwolves,Target Center
2018-02-03 22:00:00,Dallas Mavericks,Sacramento Kings,Golden 1 Center
2018-02-04 12:00:00,Memphis Grizzlies,Toronto Raptors,Air Canada Centre
2018-02-04 12:00:00,Atlanta Hawks,New York Knicks,Madison Square Garden
2018-02-04 12:00:00,Portland Trail Blazers,Boston Celtics,TD Garden
2018-02-04 12:00:00,Milwaukee Bucks,Brooklyn Nets,Barclays Center
2018-02-04 14:00:00,Los Angeles Lakers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-02-04 15:00:00,Charlotte Hornets,Phoenix Suns,Talking Stick Resort Arena
2018-02-05 19:00:00,Portland Trail Blazers,Detroit Pistons,Little Caesars Arena
2018-02-05 19:00:00,Washington Wizards,Indiana Pacers,Bankers Life Fieldhouse
2018-02-05 19:30:00,Orlando Magic,Miami Heat,AmericanAirlines Arena
2018-02-05 20:00:00,Utah Jazz,New Orleans Pelicans,Smoothie King Center
2018-02-05 21:00:00,Charlotte Hornets,Denver Nuggets,Pepsi Center
2018-02-05 22:00:00,Chicago Bulls,Sacramento Kings,Golden 1 Center
2018-02-05 22:30:00,Dallas Mavericks,Los Angeles Clippers,Staples Center
2018-02-06 19:00:00,Cleveland Cavaliers,Orlando Magic,Amway Center
2018-02-06 19:30:00,Memphis Grizzlies,Atlanta Hawks,Philips Arena
2018-02-06 19:30:00,Houston Rockets,Brooklyn Nets,Barclays Center
2018-02-06 19:30:00,Boston Celtics,Toronto Raptors,Air Canada Centre
2018-02-06 19:30:00,Milwaukee Bucks,New York Knicks,Madison Square Garden
2018-02-06 20:00:00,Washington Wizards,Philadelphia 76ers,Wells Fargo Center
2018-02-06 22:30:00,Phoenix Suns,Los Angeles Lakers,Staples Center
2018-02-06 22:30:00,Oklahoma City Thunder,Golden State Warriors,Oracle Arena
2018-02-07 19:00:00,Brooklyn Nets,Detroit Pistons,Little Caesars Arena
2018-02-07 19:30:00,Houston Rockets,Miami Heat,AmericanAirlines Arena
2018-02-07 20:00:00,Minnesota Timberwolves,Cleveland Cavaliers,Quicken Loans Arena
2018-02-07 20:00:00,Utah Jazz,Memphis Grizzlies,FedExForum
2018-02-07 22:30:00,San Antonio Spurs,Phoenix Suns,Talking Stick Resort Arena
2018-02-08 19:00:00,Atlanta Hawks,Orlando Magic,Amway Center
2018-02-08 19:30:00,New York Knicks,Toronto Raptors,Air Canada Centre
2018-02-08 20:00:00,Boston Celtics,Washington Wizards,Capital One Arena
2018-02-08 22:00:00,Charlotte Hornets,Portland Trail Blazers,Moda Center
2018-02-08 22:30:00,Oklahoma City Thunder,Los Angeles Lakers,Staples Center
2018-02-08 22:30:00,Dallas Mavericks,Golden State Warriors,Oracle Arena
2018-02-09 19:00:00,New Orleans Pelicans,Philadelphia 76ers,Wells Fargo Center
2018-02-09 19:00:00,Los Angeles Clippers,Detroit Pistons,Little Caesars Arena
2018-02-09 19:30:00,Cleveland Cavaliers,Atlanta Hawks,Philips Arena
2018-02-09 19:30:00,Indiana Pacers,Boston Celtics,TD Garden
2018-02-09 20:00:00,Milwaukee Bucks,Miami Heat,AmericanAirlines Arena
2018-02-09 20:00:00,Denver Nuggets,Houston Rockets,Toyota Center
2018-02-09 21:00:00,Charlotte Hornets,Utah Jazz,Vivint Smart Home Arena
2018-02-09 21:30:00,Minnesota Timberwolves,Chicago Bulls,United Center
2018-02-09 22:30:00,Portland Trail Blazers,Sacramento Kings,Golden 1 Center
2018-02-10 18:00:00,New Orleans Pelicans,Brooklyn Nets,Barclays Center
2018-02-10 19:00:00,Milwaukee Bucks,Orlando Magic,Amway Center
2018-02-10 19:00:00,Los Angeles Clippers,Philadelphia 76ers,Wells Fargo Center
2018-02-10 20:00:00,Washington Wizards,Chicago Bulls,United Center
2018-02-10 20:30:00,San Antonio Spurs,Golden State Warriors,Oracle Arena
2018-02-10 20:30:00,Los Angeles Lakers,Dallas Mavericks,American Airlines Center
2018-02-10 21:00:00,Denver Nuggets,Phoenix Suns,Talking Stick Resort Arena
2018-02-11 13:00:00,Toronto Raptors,Charlotte Hornets,Spectrum Center
2018-02-11 15:30:00,Detroit Pistons,Atlanta Hawks,Philips Arena
2018-02-11 15:30:00,Cleveland Cavaliers,Boston Celtics,TD Garden
2018-02-11 17:00:00,New York Knicks,Indiana Pacers,Bankers Life Fieldhouse
2018-02-11 19:00:00,Sacramento Kings,Minnesota Timberwolves,Target Center
2018-02-11 19:00:00,Dallas Mavericks,Houston Rockets,Toyota Center
2018-02-11 19:00:00,Memphis Grizzlies,Oklahoma City Thunder,Chesapeake Energy Arena
2018-02-11 21:00:00,Utah Jazz,Portland Trail Blazers,Moda Center
2018-02-12 19:00:00,New Orleans Pelicans,Detroit Pistons,Little Caesars Arena
2018-02-12 19:00:00,New York Knicks,Philadelphia 76ers,Wells Fargo Center
2018-02-12 19:30:00,Los Angeles Clippers,Brooklyn Nets,Barclays Center
2018-02-12 20:00:00,Orlando Magic,Chicago Bulls,United Center
2018-02-12 21:00:00,San Antonio Spurs,Utah Jazz,Vivint Smart Home Arena
2018-02-12 22:30:00,Phoenix Suns,Golden State Warriors,Oracle Arena
2018-02-13 19:00:00,Miami Heat,Toronto Raptors,Air Canada Centre
2018-02-13 20:00:00,Atlanta Hawks,Milwaukee Bucks,BMO Harris Bradley Center
2018-02-13 20:00:00,Houston Rockets,Minnesota Timberwolves,Target Center
2018-02-13 20:00:00,Cleveland Cavaliers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-02-13 20:30:00,Sacramento Kings,Dallas Mavericks,American Airlines Center
2018-02-13 22:30:00,San Antonio Spurs,Denver Nuggets,Pepsi Center
2018-02-14 19:00:00,Miami Heat,Philadelphia 76ers,Wells Fargo Center
2018-02-14 19:00:00,Atlanta Hawks,Detroit Pistons,Little Caesars Arena
2018-02-14 19:00:00,Charlotte Hornets,Orlando Magic,Amway Center
2018-02-14 19:30:00,Indiana Pacers,Brooklyn Nets,Barclays Center
2018-02-14 19:30:00,Washington Wizards,New York Knicks,Madison Square Garden
2018-02-14 20:00:00,Sacramento Kings,Houston Rockets,Toyota Center
2018-02-14 20:00:00,Oklahoma City Thunder,Memphis Grizzlies,FedExForum
2018-02-14 20:00:00,Los Angeles Lakers,New Orleans Pelicans,Smoothie King Center
2018-02-14 20:00:00,Los Angeles Clippers,Boston Celtics,TD Garden
2018-02-14 20:00:00,Toronto Raptors,Chicago Bulls,United Center
2018-02-14 21:00:00,Phoenix Suns,Utah Jazz,Vivint Smart Home Arena
2018-02-14 22:30:00,Golden State Warriors,Portland Trail Blazers,Moda Center
2018-02-15 20:00:00,Denver Nuggets,Milwaukee Bucks,BMO Harris Bradley Center
2018-02-15 21:00:00,Los Angeles Lakers,Minnesota Timberwolves,Target Center
2018-02-22 19:00:00,New York Knicks,Orlando Magic,Amway Center
2018-02-22 19:00:00,Brooklyn Nets,Charlotte Hornets,Spectrum Center
2018-02-22 20:00:00,Philadelphia 76ers,Chicago Bulls,United Center
2018-02-22 20:00:00,Washington Wizards,Cleveland Cavaliers,Quicken Loans Arena
2018-02-22 22:00:00,Oklahoma City Thunder,Sacramento Kings,Golden 1 Center
2018-02-22 22:30:00,Los Angeles Clippers,Golden State Warriors,Oracle Arena
2018-02-23 19:00:00,Charlotte Hornets,Washington Wizards,Capital One Arena
2018-02-23 19:00:00,Boston Celtics,Detroit Pistons,Little Caesars Arena
2018-02-23 19:00:00,Atlanta Hawks,Indiana Pacers,Bankers Life Fieldhouse
2018-02-23 19:30:00,Milwaukee Bucks,Toronto Raptors,Air Canada Centre
2018-02-23 20:00:00,Cleveland Cavaliers,Memphis Grizzlies,FedExForum
2018-02-23 20:00:00,Minnesota Timberwolves,Houston Rockets,Toyota Center
2018-02-23 20:00:00,Miami Heat,New Orleans Pelicans,Smoothie King Center
2018-02-23 21:00:00,Portland Trail Blazers,Utah Jazz,Vivint Smart Home Arena
2018-02-23 21:00:00,San Antonio Spurs,Denver Nuggets,Pepsi Center
2018-02-23 21:00:00,Los Angeles Clippers,Phoenix Suns,Talking Stick Resort Arena
2018-02-23 22:30:00,Dallas Mavericks,Los Angeles Lakers,Staples Center
2018-02-24 17:00:00,Orlando Magic,Philadelphia 76ers,Wells Fargo Center
2018-02-24 19:30:00,Memphis Grizzlies,Miami Heat,AmericanAirlines Arena
2018-02-24 19:30:00,Boston Celtics,New York Knicks,Madison Square Garden
2018-02-24 20:30:00,Oklahoma City Thunder,Golden State Warriors,Oracle Arena
2018-02-24 21:00:00,Portland Trail Blazers,Phoenix Suns,Talking Stick Resort Arena
2018-02-24 21:00:00,Dallas Mavericks,Utah Jazz,Vivint Smart Home Arena
2018-02-24 21:00:00,Chicago Bulls,Minnesota Timberwolves,Target Center
2018-02-24 22:00:00,Los Angeles Lakers,Sacramento Kings,Golden 1 Center
2018-02-25 13:00:00,Detroit Pistons,Charlotte Hornets,Spectrum Center
2018-02-25 15:00:00,New Orleans Pelicans,Milwaukee Bucks,BMO Harris Bradley Center
2018-02-25 15:30:00,San Antonio Spurs,Cleveland Cavaliers,Quicken Loans Arena
2018-02-25 20:00:00,Houston Rockets,Denver Nuggets,Pepsi Center
2018-02-25 20:00:00,Philadelphia 76ers,Washington Wizards,Capital One Arena
2018-02-26 19:30:00,Detroit Pistons,Toronto Raptors,Air Canada Centre
2018-02-26 19:30:00,Los Angeles Lakers,Atlanta Hawks,Philips Arena
2018-02-26 19:30:00,Memphis Grizzlies,Boston Celtics,TD Garden
2018-02-26 19:30:00,Chicago Bulls,Brooklyn Nets,Barclays Center
2018-02-26 19:30:00,Golden State Warriors,New York Knicks,Madison Square Garden
2018-02-26 20:00:00,Orlando Magic,Oklahoma City Thunder,Chesapeake Energy Arena
2018-02-26 20:00:00,Phoenix Suns,New Orleans Pelicans,Smoothie King Center
2018-02-26 20:30:00,Indiana Pacers,Dallas Mavericks,American Airlines Center
2018-02-26 21:00:00,Houston Rockets,Utah Jazz,Vivint Smart Home Arena
2018-02-26 22:00:00,Minnesota Timberwolves,Sacramento Kings,Golden 1 Center
2018-02-27 19:00:00,Chicago Bulls,Charlotte Hornets,Spectrum Center
2018-02-27 19:00:00,Brooklyn Nets,Cleveland Cavaliers,Quicken Loans Arena
2018-02-27 19:30:00,Philadelphia 76ers,Miami Heat,AmericanAirlines Arena
2018-02-27 20:00:00,Washington Wizards,Milwaukee Bucks,BMO Harris Bradley Center
2018-02-27 22:00:00,Sacramento Kings,Portland Trail Blazers,Moda Center
2018-02-27 22:30:00,Los Angeles Clippers,Denver Nuggets,Pepsi Center
2018-02-28 19:00:00,Toronto Raptors,Orlando Magic,Amway Center
2018-02-28 19:00:00,Milwaukee Bucks,Detroit Pistons,Little Caesars Arena
2018-02-28 19:30:00,Indiana Pacers,Atlanta Hawks,Philips Arena
2018-02-28 19:30:00,Charlotte Hornets,Boston Celtics,TD Garden
2018-02-28 20:00:00,Phoenix Suns,Memphis Grizzlies,FedExForum
2018-02-28 20:00:00,Golden State Warriors,Washington Wizards,Capital One Arena
2018-02-28 20:30:00,New Orleans Pelicans,San Antonio Spurs,AT&T Center
2018-02-28 20:30:00,Oklahoma City Thunder,Dallas Mavericks,American Airlines Center
2018-02-28 22:30:00,Houston Rockets,Los Angeles Clippers,Staples Center
2018-03-01 19:30:00,Los Angeles Lakers,Miami Heat,AmericanAirlines Arena
2018-03-01 20:00:00,Philadelphia 76ers,Cleveland Cavaliers,Quicken Loans Arena
2018-03-01 22:00:00,Brooklyn Nets,Sacramento Kings,Golden 1 Center
2018-03-01 22:30:00,Minnesota Timberwolves,Portland Trail Blazers,Moda Center
2018-03-02 19:00:00,Detroit Pistons,Orlando Magic,Amway Center
2018-03-02 19:00:00,Charlotte Hornets,Philadelphia 76ers,Wells Fargo Center
2018-03-02 19:30:00,Golden State Warriors,Atlanta Hawks,Philips Arena
2018-03-02 20:00:00,Dallas Mavericks,Chicago Bulls,United Center
2018-03-02 20:00:00,Toronto Raptors,Washington Wizards,Capital One Arena
2018-03-02 20:00:00,Denver Nuggets,Memphis Grizzlies,FedExForum
2018-03-02 20:00:00,Indiana Pacers,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-02 21:00:00,Oklahoma City Thunder,Phoenix Suns,Talking Stick Resort Arena
2018-03-02 22:30:00,Minnesota Timberwolves,Utah Jazz,Vivint Smart Home Arena
2018-03-02 22:30:00,New York Knicks,Los Angeles Clippers,Staples Center
2018-03-03 19:00:00,Memphis Grizzlies,Orlando Magic,Amway Center
2018-03-03 19:30:00,Denver Nuggets,Cleveland Cavaliers,Quicken Loans Arena
2018-03-03 19:30:00,Detroit Pistons,Miami Heat,AmericanAirlines Arena
2018-03-03 20:30:00,Boston Celtics,Houston Rockets,Toyota Center
2018-03-03 21:00:00,Los Angeles Lakers,San Antonio Spurs,AT&T Center
2018-03-03 22:00:00,Oklahoma City Thunder,Portland Trail Blazers,Moda Center
2018-03-03 22:00:00,Utah Jazz,Sacramento Kings,Golden 1 Center
2018-03-04 15:30:00,Phoenix Suns,Atlanta Hawks,Philips Arena
2018-03-04 18:00:00,Charlotte Hornets,Toronto Raptors,Air Canada Centre
2018-03-04 18:00:00,Indiana Pacers,Washington Wizards,Capital One Arena
2018-03-04 19:00:00,New Orleans Pelicans,Dallas Mavericks,American Airlines Center
2018-03-04 20:00:00,Philadelphia 76ers,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-04 21:00:00,Brooklyn Nets,Los Angeles Clippers,Staples Center
2018-03-04 21:00:00,New York Knicks,Sacramento Kings,Golden 1 Center
2018-03-05 19:00:00,Detroit Pistons,Cleveland Cavaliers,Quicken Loans Arena
2018-03-05 19:00:00,Milwaukee Bucks,Indiana Pacers,Bankers Life Fieldhouse
2018-03-05 19:30:00,Phoenix Suns,Miami Heat,AmericanAirlines Arena
2018-03-05 20:00:00,Boston Celtics,Chicago Bulls,United Center
2018-03-05 20:30:00,Memphis Grizzlies,San Antonio Spurs,AT&T Center
2018-03-05 21:00:00,Orlando Magic,Utah Jazz,Vivint Smart Home Arena
2018-03-05 22:30:00,Portland Trail Blazers,Los Angeles Lakers,Staples Center
2018-03-06 19:00:00,Philadelphia 76ers,Charlotte Hornets,Spectrum Center
2018-03-06 19:00:00,Miami Heat,Washington Wizards,Capital One Arena
2018-03-06 19:00:00,Atlanta Hawks,Toronto Raptors,Air Canada Centre
2018-03-06 20:00:00,Houston Rockets,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-06 20:30:00,Denver Nuggets,Dallas Mavericks,American Airlines Center
2018-03-06 22:00:00,New York Knicks,Portland Trail Blazers,Moda Center
2018-03-06 22:30:00,Brooklyn Nets,Golden State Warriors,Oracle Arena
2018-03-06 22:30:00,New Orleans Pelicans,Los Angeles Clippers,Staples Center
2018-03-07 19:00:00,Utah Jazz,Indiana Pacers,Bankers Life Fieldhouse
2018-03-07 20:00:00,Memphis Grizzlies,Chicago Bulls,United Center
2018-03-07 20:00:00,Toronto Raptors,Detroit Pistons,Little Caesars Arena
2018-03-07 20:00:00,Houston Rockets,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-07 22:00:00,New Orleans Pelicans,Sacramento Kings,Golden 1 Center
2018-03-07 22:30:00,Cleveland Cavaliers,Denver Nuggets,Pepsi Center
2018-03-07 22:30:00,Orlando Magic,Los Angeles Lakers,Staples Center
2018-03-08 19:00:00,Brooklyn Nets,Charlotte Hornets,Spectrum Center
2018-03-08 19:30:00,Philadelphia 76ers,Miami Heat,AmericanAirlines Arena
2018-03-08 20:00:00,Boston Celtics,Minnesota Timberwolves,Target Center
2018-03-08 20:00:00,Phoenix Suns,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-08 22:30:00,San Antonio Spurs,Golden State Warriors,Oracle Arena
2018-03-09 19:00:00,Chicago Bulls,Detroit Pistons,Little Caesars Arena
2018-03-09 19:00:00,Atlanta Hawks,Indiana Pacers,Bankers Life Fieldhouse
2018-03-09 19:30:00,Houston Rockets,Toronto Raptors,Air Canada Centre
2018-03-09 20:00:00,Utah Jazz,Memphis Grizzlies,FedExForum
2018-03-09 20:00:00,Washington Wizards,New Orleans Pelicans,Smoothie King Center
2018-03-09 20:00:00,New York Knicks,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-09 21:00:00,Los Angeles Lakers,Denver Nuggets,Pepsi Center
2018-03-09 22:00:00,Golden State Warriors,Portland Trail Blazers,Moda Center
2018-03-09 22:00:00,Orlando Magic,Sacramento Kings,Golden 1 Center
2018-03-09 22:30:00,Cleveland Cavaliers,Los Angeles Clippers,Staples Center
2018-03-10 17:00:00,Phoenix Suns,Charlotte Hornets,Spectrum Center
2018-03-10 19:30:00,Washington Wizards,Miami Heat,AmericanAirlines Arena
2018-03-10 20:30:00,Memphis Grizzlies,Dallas Mavericks,American Airlines Center
2018-03-10 20:30:00,San Antonio Spurs,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-10 22:30:00,Orlando Magic,Los Angeles Clippers,Staples Center
2018-03-11 13:00:00,Toronto Raptors,New York Knicks,Madison Square Garden
2018-03-11 15:30:00,Chicago Bulls,Atlanta Hawks,Philips Arena
2018-03-11 15:30:00,Golden State Warriors,Minnesota Timberwolves,Target Center
2018-03-11 16:00:00,Utah Jazz,New Orleans Pelicans,Smoothie King Center
2018-03-11 17:00:00,Sacramento Kings,Denver Nuggets,Pepsi Center
2018-03-11 19:00:00,Houston Rockets,Dallas Mavericks,American Airlines Center
2018-03-11 19:30:00,Philadelphia 76ers,Brooklyn Nets,Barclays Center
2018-03-11 19:30:00,Indiana Pacers,Boston Celtics,TD Garden
2018-03-11 21:00:00,Cleveland Cavaliers,Los Angeles Lakers,Staples Center
2018-03-12 20:00:00,San Antonio Spurs,Houston Rockets,Toyota Center
2018-03-12 20:00:00,Milwaukee Bucks,Memphis Grizzlies,FedExForum
2018-03-12 20:00:00,Sacramento Kings,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-12 22:30:00,Miami Heat,Portland Trail Blazers,Moda Center
2018-03-13 19:00:00,Minnesota Timberwolves,Washington Wizards,Capital One Arena
2018-03-13 19:00:00,Indiana Pacers,Philadelphia 76ers,Wells Fargo Center
2018-03-13 19:30:00,Oklahoma City Thunder,Atlanta Hawks,Philips Arena
2018-03-13 19:30:00,Toronto Raptors,Brooklyn Nets,Barclays Center
2018-03-13 19:30:00,Dallas Mavericks,New York Knicks,Madison Square Garden
2018-03-13 20:00:00,Los Angeles Clippers,Chicago Bulls,United Center
2018-03-13 20:00:00,Charlotte Hornets,New Orleans Pelicans,Smoothie King Center
2018-03-13 20:30:00,Orlando Magic,San Antonio Spurs,AT&T Center
2018-03-13 21:00:00,Detroit Pistons,Utah Jazz,Vivint Smart Home Arena
2018-03-13 22:00:00,Cleveland Cavaliers,Phoenix Suns,Talking Stick Resort Arena
2018-03-13 22:30:00,Denver Nuggets,Los Angeles Lakers,Staples Center
2018-03-14 19:00:00,Milwaukee Bucks,Orlando Magic,Amway Center
2018-03-14 20:00:00,Washington Wizards,Boston Celtics,TD Garden
2018-03-14 22:00:00,Miami Heat,Sacramento Kings,Golden 1 Center
2018-03-14 22:30:00,Los Angeles Lakers,Golden State Warriors,Oracle Arena
2018-03-15 19:00:00,Toronto Raptors,Indiana Pacers,Bankers Life Fieldhouse
2018-03-15 19:30:00,Charlotte Hornets,Atlanta Hawks,Philips Arena
2018-03-15 19:30:00,Philadelphia 76ers,New York Knicks,Madison Square Garden
2018-03-15 20:00:00,Los Angeles Clippers,Houston Rockets,Toyota Center
2018-03-15 20:00:00,Chicago Bulls,Memphis Grizzlies,FedExForum
