DateTime,Away,Home,Arena
2017-11-11 21:00:00,Brooklyn Nets,Utah Jazz,Vivint Smart Home Arena
2017-11-11 21:00:00,Orlando Magic,Denver Nuggets,Pepsi Center
2017-11-11 21:00:00,Minnesota Timberwolves,Phoenix Suns,Talking Stick Resort Arena
2017-11-12 15:30:00,Toronto Raptors,Boston Celtics,TD Garden
2017-11-12 16:00:00,Miami Heat,Detroit Pistons,Little Caesars Arena
2017-11-12 18:00:00,Houston Rockets,Indiana Pacers,Bankers Life Fieldhouse
2017-11-12 19:00:00,Dallas Mavericks,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-13 19:00:00,Sacramento Kings,Washington Wizards,Capital One Arena
2017-11-13 19:30:00,Cleveland Cavaliers,New York Knicks,Madison Square Garden
2017-11-13 20:00:00,Memphis Grizzlies,Milwaukee Bucks,BMO Harris Bradley Center
2017-11-13 20:00:00,Atlanta Hawks,New Orleans Pelicans,Smoothie King Center
2017-11-13 21:00:00,Los Angeles Lakers,Phoenix Suns,Talking Stick Resort Arena
2017-11-13 21:00:00,Minnesota Timberwolves,Utah Jazz,Vivint Smart Home Arena
2017-11-13 22:00:00,Denver Nuggets,Portland Trail Blazers,Moda Center
2017-11-13 22:30:00,Philadelphia 76ers,Los Angeles Clippers,Staples Center
2017-11-13 22:30:00,Orlando Magic,Golden State Warriors,Oracle Arena
2017-11-14 19:30:00,Boston Celtics,Brooklyn Nets,Barclays Center
2017-11-14 20:00:00,Toronto Raptors,Houston Rockets,Toyota Center
2017-11-14 20:30:00,San Antonio Spurs,Dallas Mavericks,American Airlines Center
2017-11-15 19:30:00,Sacramento Kings,Atlanta Hawks,Philips Arena
2017-11-15 19:30:00,Washington Wizards,Miami Heat,AmericanAirlines Arena
2017-11-15 19:30:00,Utah Jazz,New York Knicks,Madison Square Garden
2017-11-15 20:00:00,Cleveland Cavaliers,Charlotte Hornets,Spectrum Center
2017-11-15 20:00:00,Chicago Bulls,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-15 20:00:00,Indiana Pacers,Memphis Grizzlies,FedExForum
2017-11-15 20:00:00,Detroit Pistons,Milwaukee Bucks,BMO Harris Bradley Center
2017-11-15 20:00:00,San Antonio Spurs,Minnesota Timberwolves,Target Center
2017-11-15 20:00:00,Toronto Raptors,New Orleans Pelicans,Smoothie King Center
2017-11-15 22:00:00,Orlando Magic,Portland Trail Blazers,Moda Center
2017-11-15 22:30:00,Philadelphia 76ers,Los Angeles Lakers,Staples Center
2017-11-16 20:00:00,Golden State Warriors,Boston Celtics,TD Garden
2017-11-16 22:30:00,Houston Rockets,Phoenix Suns,Talking Stick Resort Arena
2017-11-17 19:00:00,Miami Heat,Washington Wizards,Capital One Arena
2017-11-17 19:00:00,Detroit Pistons,Indiana Pacers,Bankers Life Fieldhouse
2017-11-17 19:30:00,Utah Jazz,Brooklyn Nets,Barclays Center
2017-11-17 19:30:00,Los Angeles Clippers,Cleveland Cavaliers,Quicken Loans Arena
2017-11-17 19:30:00,New York Knicks,Toronto Raptors,Air Canada Centre
2017-11-17 20:00:00,Charlotte Hornets,Chicago Bulls,United Center
2017-11-17 20:00:00,Oklahoma City Thunder,San Antonio Spurs,AT&T Center
2017-11-17 20:30:00,Minnesota Timberwolves,Dallas Mavericks,American Airlines Center
